CFG_NAVSPG_USRDAT_FLAT,0x50110063,R8,4294967295
CFG_NAVSPG_USRDAT_MAJA,0x50110062,R8,4294967295
CFG_NAVSPG_WKNROLLOVER,0x30110017,U2,2098
CFG_NMEA_CONSIDER,0x10930004,L,1
CFG_NMEA_PROTVER,0x20930001,E1,41
CFG_ODO_COGLPGAIN,0x20220032,U1,76
CFG_ODO_COGMAXPOSACC,0x20220022,U1,50
CFG_ODO_COGMAXSPEED,0x20220021,U1,10
CFG_ODO_VELLPGAIN,0x20220031,U1,153
CFG_QZSS_USE_SLAS_DGNSS,0x10370005,L,1
CFG_RATE_MEAS,0x30210001,U2,100
CFG_RATE_NAV,0x30210002,U2,1
CFG_RINV_CHUNK0,0x50C70004,X8,4294967295
CFG_RINV_CHUNK1,0x50C70005,X8,4294967295
CFG_RINV_CHUNK2,0x50C70006,X8,4294967295
CFG_RINV_DATA_SIZE,0x20C70003,U1,22
CFG_SBAS_PRNSCANMASK,0x50360006,X8,469960
CFG_SBAS_USE_DIFFCORR,0x10360004,L,1
CFG_SBAS_USE_RANGING,0x10360003,L,1
CFG_SIGNAL_BDS_B1_ENA,0x1031000D,L,1
CFG_SIGNAL_BDS_B2_ENA,0x1031000E,L,1
CFG_SIGNAL_BDS_ENA,0x10310022,L,1
CFG_SIGNAL_GAL_E1_ENA,0x10310007,L,1
CFG_SIGNAL_GAL_E5B_ENA,0x1031000A,L,1
CFG_SIGNAL_GAL_ENA,0x10310021,L,1
CFG_SIGNAL_GLO_ENA,0x10310025,L,1
CFG_SIGNAL_GLO_L1_ENA,0x10310018,L,1
CFG_SIGNAL_GLO_L2_ENA,0x1031001A,L,1
CFG_SIGNAL_GPS_ENA,0x1031001F,L,1
CFG_SIGNAL_GPS_L1CA_ENA,0x10310001,L,1
CFG_SIGNAL_GPS_L2C_ENA,0x10310003,L,1
CFG_SIGNAL_QZSS_ENA,0x10310024,L,1
CFG_SIGNAL_SBAS_ENA,0x10310020,L,1
CFG_SPI_MAXFF,0x20640001,U1,50
CFG_SPIINPROT_NMEA,0x10790002,L,1
CFG_SPIINPROT_RTCM3X,0x10790004,L,1
CFG_SPIINPROT_UBX,0x10790001,L,1
CFG_SPIOUTPROT_NMEA,0x107A0002,L,1
CFG_SPIOUTPROT_RTCM3X,0x107A0004,L,1
CFG_SPIOUTPROT_UBX,0x107A0001,L,1
CFG_TP_ALIGN_TO_TOW_TP1,0x1005000A,L,1
CFG_TP_ANT_CABLEDELAY,0x30050001,I2,50
CFG_TP_DUTY_LOCK_TP1,0x5005002B,R8,4294967295
CFG_TP_FREQ_LOCK_TP1,0x40050025,U4,1
CFG_TP_FREQ_TP1,0x40050024,U4,1
CFG_TP_LEN_LOCK_TP1,0x40050005,U4,100000
CFG_TP_PERIOD_LOCK_TP1,0x40050003,U4,1000000
CFG_TP_PERIOD_TP1,0x40050002,U4,1000000
CFG_TP_POL_TP1,0x1005000B,L,1
CFG_TP_PULSE_LENGTH_DEF,0x20050030,E1,1
CFG_TP_SYNC_GNSS_TP1,0x10050008,L,1
CFG_TP_TP1_ENA,0x10050007,L,1
CFG_TP_USE_LOCKED_TP1,0x10050009,L,1
CFG_UART1_BAUDRATE,0x40520001,U4,230400
CFG_UART1_ENABLED,0x10520005,L,1
CFG_UART1_STOPBITS,0x20520002,E1,1
CFG_UART1INPROT_NMEA,0x10730002,L,1
CFG_UART1INPROT_RTCM3X,0x10730004,L,1
CFG_UART1INPROT_UBX,0x10730001,L,1
CFG_UART1OUTPROT_UBX,0x10740001,L,1
CFG_UART2_BAUDRATE,0x40530001,U4,460800
CFG_UART2_ENABLED,0x10530005,L,1
CFG_UART2_STOPBITS,0x20530002,E1,1
CFG_UART2INPROT_RTCM3X,0x10750004,L,1
CFG_UART2OUTPROT_RTCM3X,0x10760004,L,1
CFG_USB_ENABLED,0x10650001,L,1
CFG_USB_PRODUCT_ID,0x3065000B,U2,425
CFG_USB_PRODUCT_STR0,0x50650011,X8,4294967295
CFG_USB_PRODUCT_STR1,0x50650012,X8,4294967295
CFG_USB_PRODUCT_STR2,0x50650013,X8,1919252073
CFG_USB_SELFPOW,0x10650002,L,1
CFG_USB_VENDOR_ID,0x3065000A,U2,5446
CFG_USB_VENDOR_STR0,0x5065000D,X8,4294967295
CFG_USB_VENDOR_STR1,0x5065000E,X8,4294967295
CFG_USB_VENDOR_STR2,0x5065000F,X8,4294967295
CFG_USB_VENDOR_STR3,0x50650010,X8,28015
CFG_USBINPROT_NMEA,0x10770002,L,1
CFG_USBINPROT_RTCM3X,0x10770004,L,1
CFG_USBINPROT_UBX,0x10770001,L,1
CFG_USBOUTPROT_NMEA,0x10780002,L,1
CFG_USBOUTPROT_RTCM3X,0x10780004,L,1
CFG_USBOUTPROT_UBX,0x10780001,L,1
